index	season	episode	episode_name	character	text	text_w_direction	setup	twss
48602	3	1	 Gay Witch Hunt	Michael	" Oh come on! Dwight! Come on, man!"	" [Dwight gets up to kiss Oscar] Oh come on! Dwight! Come on, man!"		
48959	3	1	 Gay Witch Hunt	Michael	" We are not in the playground anymore. There are new rules. We have to be mature. But we can't lose the spirit of child like wonder. What is love... anyway? Maybe it's supposed to break all the rules. Like me and Jan. Or Oscar... and some guy. Life is short. When two people find each other, what should stand in their way?"	" We are not in the playground anymore. There are new rules. We have to be mature. But we can't lose the spirit of child like wonder. What is love... anyway? Maybe it's supposed to break all the rules. Like me and Jan. Or Oscar... and some guy. Life is short. When two people find each other, what should stand in their way?"		
49316	3	1	 Gay Witch Hunt	Michael	" I am glad that today spurred social change. That's part of my job as regional manager. But you know what? Even if it didn't, at least we put this matter to bed. ...that's what she said. Or he said."	" I am glad that today spurred social change. That's part of my job as regional manager. But you know what? Even if it didn't, at least we put this matter to bed. ...that's what she said. Or he said."	Michael	Michael
43619	3	10	 A Benihana Christmas (Parts 1&2)	Second	" Thanks! I, I wanna give you something."	" Thanks! I, I wanna give you something."		
43975	3	10	 A Benihana Christmas (Parts 1&2)	Phyllis	 But we invited guests.	 But we invited guests.		
43976	3	10	 A Benihana Christmas (Parts 1&2)	Michael	 Oh. That's what she said.	 Oh. [She whispers in his ear. Michael starts to laugh] That's what she said.	Waitress	Michael
68	3	13	 Traveling Salesmen	Michael	" Ok, you know what? I want you to think about your future in this company. I want you to think about it long and hard."	" Ok, you know what? I want you to think about your future in this company. I want you to think about it long and hard."		
424	3	13	 Traveling Salesmen	Harvey	" Hi, Jim."	" Hi, Jim."		
425	3	13	 Traveling Salesmen	Dwight	 That's what she said.	 That's what she said.	Michael	Dwight
14711	3	18	 Cocktails	Jan	 Let's just blow this party off.	 Let's just blow this party off.		
14712	3	18	 Cocktails	Roy	 Are they going to call the cops?	 Are they going to call the cops?		
15068	3	18	 Cocktails	Michael	 That's what she said.	 That's what she said.		
40058	3	18	 Cocktails	Jan	" What's this over the ""i""?"	" What's this over the ""i""?"		
40415	3	18	 Cocktails	Michael	 It's a heart.	 It's a heart.		
40772	3	18	 Cocktails	Jan	 Why is this so hard? That's what she said. Oh my God. What am I saying?	 Why is this so hard? That's what she said. Oh my God. What am I saying?	Jan	Jan
15074	3	21	 Product Recall	Andy	" William Dolittle at your service. A.K.A., Will Do."	" [English accent] William Dolittle at your service. A.K.A., Will Do."		
15431	3	21	 Product Recall	Jim	" Yeah, I'm definitely gonna go alone."	" Yeah, I'm definitely gonna go alone."		
15788	3	21	 Product Recall	Michael	" No, no. I need two men on this. That's what she said. No time! But she did. NO TIME! Guys, get on this. Dwight, I want you to be in charge of the press conference."	" No, no. I need two men on this. That's what she said. No time! But she did. NO TIME! Guys, get on this. Dwight, I want you to be in charge of the press conference."	Michael	Michael
13301	4	3	 Dunder Mifflin Infinity (Parts 1&2)	Dwight	 Are you enjoying your mineral water?	 Are you enjoying your mineral water?		
13302	4	3	 Dunder Mifflin Infinity (Parts 1&2)	Ex	" Come on guys, get out of here!"	" Come on guys, get out of here!"		
13657	4	3	 Dunder Mifflin Infinity (Parts 1&2)	Michael	 Hey. Can you make that straighter? That's what she said.	 Hey. Can you make that straighter? That's what she said.	Michael	Michael
76495	4	7	 Money (Parts 1&2)	Michael	" Ahh, still lame. Okay. All right. Thank you, Ryan, for that wonderful introduction. Okay, um, today we're gonna be talking... about...PowerPoint! PowerPoint! PowerPoint! PowerPoint!"	" Ahh, still lame. Okay. All right. Thank you, Ryan, for that wonderful introduction. Okay, um, today we're gonna be talking... about...PowerPoint! PowerPoint! PowerPoint! PowerPoint!"		
76852	4	7	 Money (Parts 1&2)	Michael	" Yes I forgot about Ryan's presentation. And yes, it would have been nice to do well with the first presentation he had given me. But you know what else would have been nice? Winning the lottery."	" Yes I forgot about Ryan's presentation. And yes, it would have been nice to do well with the first presentation he had given me. But you know what else would have been nice? Winning the lottery."		
78280	4	7	 Money (Parts 1&2)	Michael	" And the best way to start is to hit start. And up comes the toolbar, that's what she said. What we have to do here is go to Run, and then you look up to PowerPoint. And we are in. We are going to register. You hit register--- Updates are ready. I should update. Um, estimated time 12 minutes, so this should take 5 or 10 minutes."	" And the best way to start is to hit start. And up comes the toolbar, that's what she said. What we have to do here is go to Run, and then you look up to PowerPoint. And we are in. We are going to register. You hit register--- Updates are ready. I should update. Um, estimated time 12 minutes, so this should take 5 or 10 minutes."	Michael	Michael
81855	4	11	 Survivor Man	Michael	" Uh huh. Yeah, just wait. Ten years, you'll figure it out."	" Uh huh. Yeah, just wait. Ten years, you'll figure it out."		
82212	4	11	 Survivor Man	Jim	" Well, I don't think I'll be here in ten years."	" Well, I don't think I'll be here in ten years."		
82569	4	11	 Survivor Man	Michael	 That's what I said. That's what she said.	 That's what I said. That's what she said.		
82926	4	11	 Survivor Man	Jim	 That's what who said?	 That's what who said?		
83283	4	11	 Survivor Man	Michael	" I never know. I just say it. I say stuff like that, you know, to lighten the tension. When things sort of get hard."	" I never know. I just say it. I say stuff like that, you know, to lighten the tension. When things sort of get hard."		
83640	4	11	 Survivor Man	Jim	 That's what she said.	 That's what she said.	Michael	Jim
35803	4	12	 The Deposition	Michael	 Six years and two months.	 Six years and two months.		
36160	4	12	 The Deposition	Lester	 And you were directly under her the entire time?	 And you were directly under her the entire time?		
36517	4	12	 The Deposition	Michael	 That's what she said.	 That's what she said.	Deposition	Michael
36874	4	12	 The Deposition	Lester	 Excuse me?	 Excuse me?		
37231	4	12	 The Deposition	Michael	 That's what she said.	 That's what she said.		
38659	4	12	 The Deposition	Diane	" No wait, I don't understand. Who's on record on saying this?"	" No wait, I don't understand. Who's on record on saying this?"		
39016	4	12	 The Deposition	Lester	" With all due respect, I'm in the middle of a line of questioning. Now Mr. Scott, what did you say Ms. Levinson said? Regarding your employment status with respect to her corporate position."	" With all due respect, I'm in the middle of a line of questioning. Now Mr. Scott, what did you say Ms. Levinson said? Regarding your employment status with respect to her corporate position."		
39373	4	12	 The Deposition	Michael	 Come again? That's what she said? I don't know what you're talking about.	 Come again? That's what she said? I don't know what you're talking about.		
15103	4	16	 Did I Stutter?	Jim	 That's also not true.	 That's also not true.		
15460	4	16	 Did I Stutter?	Dwight	 And... go. Force it in as deep as you can.	 And... go. [Michael sticks his face in the cement] Force it in as deep as you can.		
15817	4	16	 Did I Stutter?	Michael	 That's what she said.	 [muffled] That's what she said.	Dwight	Michael
54747	5	5	 Crime Aid	Michael	" Okay, this is the moment that you have all been waiting for. Our first item up for bids tonight is something that I consider to be very boss indeed. What the hell is that?"	" Okay, this is the moment that you have all been waiting for. Our first item up for bids tonight is something that I consider to be very boss indeed. [cheers and applause] It is a Yoga lesson from Holly Flax! Yoga! And I would like to start the bidding off at 300 dollars. [auctioneer voice] 300 dollars do I hear 300 dollars? 300 dollars. Hey, batter batter batter, hey batter, swing batter, 300 dollars, 300 dollars, 300 dollars. Anybody, 300 dollars. 400 dollars. Who wants for 400-[speaking gibberish] Do I see somebody in the back? Is there somebody in the back? Do I see somebody in the back? 400-450 [speaking gibberish] Sold! For 300 dollars to me! [bangs gavel, which squeaks] What the hell is that?"		
55104	5	5	 Crime Aid	Phyllis	 It's the only gavel I could find.	 It's the only gavel I could find.		
55461	5	5	 Crime Aid	Michael	" It squeaks when you bang it, that's what she said. Let's hear it for me! Right? A bargain at any price!"	" It squeaks when you bang it, that's what she said. Let's hear it for me! Right? A bargain at any price!"	Michael	Michael
44753	5	6	 Employee Transfer	Michael	" I've dated almost four women, and you are so far above them, it is stupid."	" I've dated almost four women, and you are so far above them, it is stupid."		
45110	5	6	 Employee Transfer	Holly	 Michael. Don't. Don't. Don't make it harder than it has to be.	 Michael. Don't. Don't. Don't make it harder than it has to be.		
45467	5	6	 Employee Transfer	Michael	 That's what she said.	 That's what she said.	Holly	Michael
1916	5	7	 Customer Survey	Kelly	" Dwight, get out of my nook!"	" Dwight, get out of my nook!"		
2272	5	7	 Customer Survey	Michael	" No, we would never do that. And if we did, it would be with Jim and Pam."	" No, we would never do that. And if we did, it would be with Jim and Pam."		
2273	5	7	 Customer Survey	Pam	 That's what she said! That's what she said! That's what she said!	 [in New York] That's what she said! That's what she said! That's what she said!	Kelly	Pam
79761	5	19	 Golden Ticket	David	 I just want to say that this golden ticket idea is one of the most brilliant signs of initiative I have ever seen at this company and how about a big round of applause for Mr. Dwight Schrute? [everyone starts clapping]	 I just want to say that this golden ticket idea is one of the most brilliant signs of initiative I have ever seen at this company and how about a big round of applause for Mr. Dwight Schrute? [everyone starts clapping]		
80118	5	19	 Golden Ticket	David	 Alright Dwight. This is huge.	 Alright Dwight. This is huge.		
80475	5	19	 Golden Ticket	Dwight	 That's what she said! [David laughs]	 That's what she said! [David laughs]	David	Dwight
24841	6	20	 New Leads	Michael	 You don't get it.	 You don't get it.		
25198	6	20	 New Leads	Darryl	 You need to get back on top.	 You need to get back on top.		
25555	6	20	 New Leads	Michael	 That's what she said.	 That's what she said.	Darryl	Michael
55927	7	8	 Viewing Party	Michael	 You know what Erin you do have to.	 You know what Erin you do have to.		
56284	7	8	 Viewing Party	Gabe	 Michael! You are making this harder than it has to be.	 Michael! You are making this harder than it has to be.		
56641	7	8	 Viewing Party	Michael	 That's what she said. [leaves]	 [grimacing] That's what she said. [leaves]	Gabe	Michael
5601	7	14	 The Seminar	Michael	" No, no, no. And people don't understand that is has nothing to do with making fun of a different nationality."	" No, no, no. And people don't understand that is has nothing to do with making fun of a different nationality."		
5602	7	14	 The Seminar	Tom	 Must be a front for some kind of famous laboratory. [laughs]	 Must be a front for some kind of famous laboratory. [laughs]		
5958	7	14	 The Seminar	David	" No, no. No, comedy is a place where the mind goes to tickle itself. That's what she said. Ohh."	" No, no. No, comedy is a place where the mind goes to tickle itself. That's what she said. [laughs]. [hugs Michaels] Ohh."	David Brent	David Brent
11675	7	16	 PDA	Michael	 I was in love with you.	 I was in love with you.		
12031	7	16	 PDA	Gabe	 The puzzle is the clue.	 The puzzle is the clue.		
12032	7	16	 PDA	Holly	 I'm not saying it won't be hard. But we can make it work. That's what she said.	 I'm not saying it won't be hard. But we can make it work. That's what she said.	Holly	Holly
28821	7	22	" Goodbye, Michael"	Michael	" Got almost everybody. So... Holly's my family now. I actually don't understand deathbeds. I mean, who would buy that?"	" Got almost everybody. So... Holly's my family now. [you see video of Michael getting into the cab, and driving off. As the cab leaves, Pam drives in] She's my family. The babies that I make with her, will be my children. The people that you work with, are just... when you get down to it... your very best friends. They say, on your deathbed, you never wish you spent more time at the office. But I will. Gotta be a lot better than a deathbed. [You see Michael getting out and entering the airport, and going through security] I actually don't understand deathbeds. I mean, who would buy that?"		
29177	7	22	" Goodbye, Michael"	Andy	 You know I'm the worst salesman here right?	 You know I'm the worst salesman here right?		
29178	7	22	" Goodbye, Michael"	Michael	" That's what she said! [waves goodbye and walks off to his gate, halfway there Pam comes running up to him and they hug for a while. They say their goodbyes to each other, and Michael walks off for good]"	" [putting his shoes back on, talking to the camera crew] Well, I guess this is it. Hey will you guys let me know if this ever airs? Thank you. Alright... Oh! [pulls out his mic from his shirt] This is gonna feel so good, getting this thing off my chest. [he hands them the body mic, when he speaks it is inaudible now] That's what she said! [waves goodbye and walks off to his gate, halfway there Pam comes running up to him and they hug for a while. They say their goodbyes to each other, and Michael walks off for good]"	Michael	Michael
75646	9	5	 Here Comes Treble	HCT	 [still singing]	 [still singing]		
76003	9	5	 Here Comes Treble	Clark	 Wait! Wait. Hold on. Where's the band? ‘Cause there's just no way you guys are making this magic with just your mouths.	 Wait! Wait. Hold on. Where's the band? ‘Cause there's just no way you guys are making this magic with just your mouths.		
76360	9	5	 Here Comes Treble	Creed	 Yeah. That's what she said.	 Yeah. That's what she said.	Clark	Creed
43553	9	24	 Finale	Dwight	 Michael. I can't believe you came.	 [turns around] [whispering] Michael. I can't believe you came.		
43909	9	24	 Finale	Pam	 Darryl! Andy!	 [enters] Darryl! Andy!		
43910	9	24	 Finale	Michael	 That's what she said.	 That's what she said.	Dwight	Michael
